year,stateProvince,decimalLatitude,decimalLongitude,vernacularName,species
1996,Victoria,-37.26959,146.5721,Rabbit,Oryctolagus cuniculus
2003,Victoria,-36.78489,145.00588,Rabbit,Oryctolagus cuniculus
2021,Victoria,-38.90899,146.24105,Rabbit,Oryctolagus cuniculus
1996,Victoria,-36.75829,144.8251,Rabbit,Oryctolagus cuniculus
2004,Victoria,-36.20389,146.95397,Rabbit,Oryctolagus cuniculus
2013,Victoria,-37.31,145.88414,Rabbit,Oryctolagus cuniculus
2019,Victoria,-37.12449,146.50126,Rabbit,Oryctolagus cuniculus
2016,Victoria,-37.35155,149.31287,Rabbit,Oryctolagus cuniculus
1998,Victoria,-37.9928,145.13075,Rabbit,Oryctolagus cuniculus
2021,Victoria,-38.26333,146.42667,Rabbit,Oryctolagus cuniculus
1992,Victoria,-37.68644,149.54105,Rabbit,Oryctolagus cuniculus
2012,Victoria,-37.6735,146.31709,Rabbit,Oryctolagus cuniculus
2009,Victoria,-36.8519,148.32647,Rabbit,Oryctolagus cuniculus
2013,Victoria,-37.9329,145.32154,Rabbit,Oryctolagus cuniculus
2015,Victoria,-34.69527,142.34592,Rabbit,Oryctolagus cuniculus
2008,Victoria,-38.37168,144.99956,Rabbit,Oryctolagus cuniculus
2015,Victoria,-38.14716,145.43323,Rabbit,Oryctolagus cuniculus
2016,Victoria,-38.10889,145.39222,Rabbit,Oryctolagus cuniculus
2004,Victoria,-36.20389,146.95397,Rabbit,Oryctolagus cuniculus
1970,Victoria,-37.54015,145.37631,Rabbit,Oryctolagus cuniculus
2019,Victoria,-38.22284,145.40511,Rabbit,Oryctolagus cuniculus
1982,Victoria,-36.24226,146.27172,Rabbit,Oryctolagus cuniculus
2015,Victoria,-38.17338,145.38151,Rabbit,Oryctolagus cuniculus
2019,Victoria,-36.61668,141.79847,Rabbit,Oryctolagus cuniculus
2014,Victoria,-38.07907,145.37301,Rabbit,Oryctolagus cuniculus
2003,Victoria,-38.28159,146.88066,Rabbit,Oryctolagus cuniculus
2012,Victoria,-38.61508,145.6034,Rabbit,Oryctolagus cuniculus
1999,Victoria,-38.02344,147.32315,Rabbit,Oryctolagus cuniculus
1989,Victoria,-36.78845,144.39733,Rabbit,Oryctolagus cuniculus
2016,Victoria,-38.11752,145.27602,Rabbit,Oryctolagus cuniculus
2014,Victoria,-38.17338,145.38151,Rabbit,Oryctolagus cuniculus
2019,Victoria,-36.61668,141.79847,Rabbit,Oryctolagus cuniculus
2015,Victoria,-38.20245,145.37469,Rabbit,Oryctolagus cuniculus
1998,Victoria,-38.33182,145.58465,Rabbit,Oryctolagus cuniculus
2019,Victoria,-38.5609,143.44202,Rabbit,Oryctolagus cuniculus
1986,Victoria,-34.85166,142.12968,Rabbit,Oryctolagus cuniculus
1991,Victoria,-37.56386,149.27764,Rabbit,Oryctolagus cuniculus
2005,Victoria,-38.2446,143.3306,Rabbit,Oryctolagus cuniculus
2005,Victoria,-37.64191,144.84719,Rabbit,Oryctolagus cuniculus
1980,Victoria,-37.57813,145.36539,Rabbit,Oryctolagus cuniculus
1995,Victoria,-38.39533,145.16967,Rabbit,Oryctolagus cuniculus
1997,Victoria,-38.82352,143.59302,Rabbit,Oryctolagus cuniculus
1998,Victoria,-36.20389,146.95397,Rabbit,Oryctolagus cuniculus
1996,Victoria,-37.01706,146.99058,Rabbit,Oryctolagus cuniculus
2006,Victoria,-36.29961,141.54779,Rabbit,Oryctolagus cuniculus
1986,Victoria,-35.79576,141.77881,Rabbit,Oryctolagus cuniculus
1978,Victoria,-36.70686,141.54301,Rabbit,Oryctolagus cuniculus
1991,Victoria,-36.70718,145.10416,Rabbit,Oryctolagus cuniculus
2015,Victoria,-38.37284,145.03345,Rabbit,Oryctolagus cuniculus
1998,Victoria,-36.74049,146.22447,Rabbit,Oryctolagus cuniculus
1996,Victoria,-36.8665,143.41055,Rabbit,Oryctolagus cuniculus
1979,Victoria,-36.04019,141.62634,Rabbit,Oryctolagus cuniculus
1996,Victoria,-36.26526,146.20359,Rabbit,Oryctolagus cuniculus
1889,Victoria,-38.06305,144.21832,Rabbit,Oryctolagus cuniculus
1980,Victoria,-35.29018,141.62632,Rabbit,Oryctolagus cuniculus
1993,Victoria,-38.88046,146.26978,Rabbit,Oryctolagus cuniculus
2022,Victoria,-38.03519,145.1846,Rabbit,Oryctolagus cuniculus
1990,Victoria,-37.7721,144.37911,Rabbit,Oryctolagus cuniculus
2013,Victoria,-37.9293,145.32162,Rabbit,Oryctolagus cuniculus
1992,Victoria,-37.39847,149.6465,Rabbit,Oryctolagus cuniculus
1990,Victoria,-37.78524,144.75333,Rabbit,Oryctolagus cuniculus
2009,Victoria,-38.342,144.136,Rabbit,Oryctolagus cuniculus
1978,Victoria,-36.37352,141.62634,Rabbit,Oryctolagus cuniculus
2015,Victoria,-37.49562,145.42047,Rabbit,Oryctolagus cuniculus
1985,Victoria,-34.7969,142.36941,Rabbit,Oryctolagus cuniculus
1978,Victoria,-37.39015,145.7763,Rabbit,Oryctolagus cuniculus
2012,Victoria,-36.8004,143.3153,Rabbit,Oryctolagus cuniculus
2015,Victoria,-37.59988,144.7214,Rabbit,Oryctolagus cuniculus
